id,WorldPortIndexNumber,CountryCode,Latitude,Longitude,SuppliesFuelOil,SuppliesDieselOil,Repairs
0,7950.0,UnitedStates,40.533333,-74.25,Yes,Yes,Moderate
1,52235.0,Indonesia,-2.733333,121.066667,No,No,None
2,47620.0,Madagascar,-13.35,50.0,No,No,EmergencyOnly
3,47360.0,Madagascar,-13.4,48.3,No,No,EmergencyOnly
4,47020.0,Tanzania,-5.25,39.766667,No,No,Unknown
5,47005.0,Tanzania,-6.816667,39.366667,Yes,No,None
6,57245.0,Vanuatu,-17.683333,168.55,No,No,Unknown
7,56820.0,PapuaNewGuinea,-4.333333,152.266667,No,No,Limited
8,56710.0,PapuaNewGuinea,-1.216667,144.3,No,No,Unknown
9,56660.0,Palau,7.333333,134.45,Yes,Yes,Limited
10,56630.0,FederatedStatesofMicronesia,9.516667,138.133333,Yes,Unknown,Limited
11,56600.0,FederatedStatesofMicronesia,7.433333,151.833333,Yes,Unknown,EmergencyOnly
12,56570.0,FederatedStatesofMicronesia,5.333333,163.033333,Yes,Yes,EmergencyOnly
13,44804.0,Turkey,36.85,36.166667,Yes,Yes,Moderate
14,50350.0,Indonesia,-5.5,106.233333,No,No,EmergencyOnly
15,4000.0,Canada,44.8,-79.716667,Yes,Unknown,Limited
16,38330.0,Gibraltar,36.133333,-5.35,Yes,Yes,Major
17,56945.0,PapuaNewGuinea,-5.166667,154.55,Unknown,Yes,Limited
18,7010.0,UnitedStates,43.866667,-69.483333,Unknown,Yes,Limited
19,5980.0,Canada,46.25,-60.3,Unknown,Yes,Unknown
20,53020.0,Indonesia,-0.883333,131.233333,Yes,Yes,Limited
21,4950.0,UnitedStates,44.45,-88.066667,Yes,Yes,Unknown
22,4630.0,UnitedStates,45.016667,-85.766667,Unknown,Yes,Unknown
23,20940.0,Norway,70.583333,22.133333,Unknown,Yes,None
24,19880.0,UnitedStates,56.9,-154.25,No,Yes,Limited
25,12900.0,Brazil,-22.816667,-43.15,Yes,Yes,Major
26,48104.0,SaudiArabia,27.933333,35.25,Unknown,Unknown,Unknown
27,9210.0,UnitedStates,29.733333,-95.2,Yes,Yes,Unknown
28,8400.0,UnitedStates,35.15,-76.766667,Yes,Unknown,Limited
29,4240.0,Canada,46.25,-83.883333,Yes,Yes,Unknown
30,4160.0,Canada,45.916667,-82.25,Yes,Yes,Limited
31,3130.0,UnitedStates,44.066667,-76.133333,Yes,Yes,Limited
32,20000.0,UnitedStates,57.566667,-156.033333,Unknown,Unknown,Unknown
33,5520.0,Canada,48.766667,-64.383333,Unknown,Unknown,Unknown
34,28615.0,Latvia,57.0,23.433333,Yes,Unknown,Unknown
35,19630.0,UnitedStates,60.2,-144.533333,Unknown,Unknown,Unknown
36,6750.0,UnitedStates,44.15,-68.45,Unknown,Yes,Unknown
37,6820.0,UnitedStates,43.833333,-68.883333,Yes,Yes,Unknown
38,29800.0,Denmark,54.883333,10.416667,Yes,Yes,Limited
39,43950.0,Ukraine,46.35,35.366667,Unknown,Unknown,Unknown
